Locus,Mean_Length,Num_Inds,Num_Groups,40i_loci.txt,62i_loci.txt,98i_loci.txt,g2_loci.txt,g4_loci.txt,g7_loci.txt,Calandrinia,Calandrinia1,Calandrinia2,Calandrinia3,Calandrinia4,Calandrinia5,Calandrinia6,Molluginaceae,Monteae,Montiaceae,NWCalandrinia,Outgroup,Phemeranthus,Portulacineae
6043b,391.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
6043b_1,351.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
7482_1,227.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
8489_1,2909.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Ambig_apl3_none_1,1133.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Ambig_apl3_none_2,1084.00,1,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Ambig_apl4_none_2,1234.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_apl4_none_3,568.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Ambig_asp2_none_1,893.65,108,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Ambig_dit1_none_1,778.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Ambig_nGroup_10860_none_2,292.00,2,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Ambig_nGroup_12443_none_1,1046.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_nGroup_12443_none_3,169.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Ambig_nGroup_15299_3_1,313.50,2,1,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Ambig_nGroup_15299_3_2,283.50,2,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Ambig_nGroup_15299_none_1,361.00,1,1,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Ambig_nGroup_15299_none_2,371.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Ambig_nGroup_1537_none_1,415.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_nGroup_16142_16142_16142og_1,762.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
Ambig_nGroup_16142_none_1,1692.00,1,1,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Ambig_nGroup_16157_none,392.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Ambig_nGroup_16157_none_1,266.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Ambig_nGroup_16157_none_2,506.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Ambig_nGroup_18627_none_1,243.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Ambig_nGroup_18890_none_2,170.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_nGroup_19153_none_1_2,1579.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Ambig_nGroup_19153_none_2,884.67,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Ambig_nGroup_19417_19417og_19417_2,509.50,8,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Ambig_nGroup_20351_none_1,380.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Ambig_nGroup_20351_none_2,275.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Ambig_nGroup_20351_none_3,267.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Ambig_nGroup_2238_2238og_2238_2,224.00,1,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Ambig_nGroup_2241_2241_2241og_3,1542.50,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
Ambig_nGroup_2241_none_1,329.27,11,5,no,no,no,yes,yes,no,no,no,no,no,yes,no,yes,no,no,yes,yes,no,yes,no
Ambig_nGroup_2241_none_2,1042.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_nGroup_2241_none_3,1811.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Ambig_nGroup_2241_none_5,1273.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Ambig_nGroup_24488_none,1025.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_nGroup_2489_none_2,670.67,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_nGroup_2489_none_3,335.00,1,1,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Ambig_nGroup_2489_none_4,388.80,5,2,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
Ambig_nGroup_2489_none_5_1,888.00,7,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
Ambig_nGroup_2489_none_6,347.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Ambig_nGroup_2489_none_8,348.00,1,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Ambig_nGroup_2917_none,1794.67,3,2,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no
Ambig_nGroup_2917_none_1,400.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Ambig_nGroup_3058_3,616.00,1,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Ambig_nGroup_3058_4_1,314.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Ambig_nGroup_3292_none_1,197.67,3,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Ambig_nGroup_4237_3_1,343.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_nGroup_4237_3_2,515.33,3,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
Ambig_nGroup_6043_3_2,233.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Ambig_nGroup_6043_3_3,688.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Ambig_nGroup_6043_4_2,286.00,1,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Ambig_nGroup_6043_4_3,286.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
Ambig_nGroup_6043_6043b_6043a,204.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_nGroup_6043_6043b_6043a_1,280.00,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Ambig_nGroup_6043_none_1,358.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Ambig_nGroup_6043_none_2,206.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Ambig_nGroup_6043_none_4,375.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Ambig_nGroup_6416_3_2,559.00,2,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Ambig_nGroup_7264_none_1_1_2,615.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Ambig_nGroup_7264_none_1_2,591.67,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Ambig_nGroup_7264_none_2,378.67,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Ambig_nGroup_796_4,541.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_nGroup_796_4_1,547.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_nGroup_796_4_2,334.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_nGroup_796_4_3,391.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_nGroup_796_4_4,863.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_nGroup_796_none_2,193.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_nGroup_796_none_5,1584.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_nGroup_796_none_6_2,815.00,2,2,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
Ambig_nGroup_796_none_7,395.00,1,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Ambig_nGroup_8998_none_1,1066.00,7,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no
Ambig_nGroup_8998_none_1_2,1212.00,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_nGroup_8998_none_2,1182.50,4,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Ambig_nGroup_8998_none_4,1207.00,1,1,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Ambig_nGroup_9112_none_1,2076.50,4,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_nGroup_9112_none_3,166.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Ambig_nadpmdh1_none_1,1334.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_nadpmdh2_none_2,432.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Ambig_pck_none_3,1129.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Ambig_phyC_none_2,1126.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Ambig_ppc1_none_1,245.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_ppc1_none_2,1296.75,4,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
Ambig_ppc1_none_3,390.00,1,1,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Ambig_ppc1_none_4,439.00,2,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Ambig_ppdk_none_1,198.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Ambig_ppt1_none_1,912.85,91,14,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Ambig_ppt1_none_2,1047.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Ambig_ppt2_none_2,745.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Ambig_ppt2_none_4,669.50,2,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Ambig_tdt_none_1,486.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
alaAT_1,583.90,96,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
alaAT_1_1,431.44,80,10,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes
alaAT_1_1_1,937.22,9,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no
alaAT_1_1_1_1_1_1,646.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
alaAT_1_1_1_1_1_2_2,674.00,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
alaAT_1_1_1_1_2,634.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
alaAT_1_1_1_2,311.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
alaAT_1_1_2_11_1,273.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
alaAT_1_1_2_11_2,244.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
alaAT_1_1_2_2,320.67,6,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
alaAT_1_1_2_4,548.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
alaAT_1_1_2_5,353.50,2,2,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
alaAT_1_1_2_8,711.50,2,2,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
alaAT_1_1_2_9_1,345.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
alaAT_1_1_2_9_2,232.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
alaAT_1_1_4,920.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
amk1_1,416.75,53,8,yes,no,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no
amk1_1_1_1_1,266.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
amk1_1_1_1_2,266.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
amk1_1_1_2,266.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
amk1_2,400.59,93,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
amk1_4,266.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
amk1_5_2,265.00,2,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
amk1_6,279.00,1,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
amk2,1210.47,103,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
apl1_1,1140.25,4,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes
apl1_2,1119.94,100,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
apl1_3,966.00,4,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no
apl2_1,1269.04,101,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
apl2_1_2,271.00,1,1,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
apl2_2,1253.75,4,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
apl3_1,408.63,71,11,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes
apl3_1_1,700.40,5,3,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no
apl3_1_2_1,719.17,6,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
apl3_1_2_3_1,218.33,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
apl3_1_2_4_1,263.75,4,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
apl3_1_2_4_2,278.75,4,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
apl3_2,421.33,97,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
apl3_4,212.80,5,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
apl3_5_2,734.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
apl4_1,679.67,3,3,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes
apl4_2,1429.43,108,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
apl4_3,1181.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
asp1_1,615.58,91,14,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
asp1_10,484.00,3,1,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
asp1_11,497.00,6,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
asp1_14,485.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
asp1_15,482.77,13,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
asp1_17,323.00,2,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
asp1_5,999.00,4,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes
asp1_6,671.61,46,10,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes
asp1_7,780.90,10,2,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no
asp2_1,668.83,6,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
asp2_10,414.17,6,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
asp2_1_2,452.33,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
asp2_3,847.00,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
asp2_5,391.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
asp2_6,439.75,4,2,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
asp2_8,607.67,3,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
asp3132_1,1065.14,113,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
asp3132_1_1_2,230.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
asp3132_1_1_4,161.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
asp3132_1_2,532.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
asp3132_2,1045.06,108,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
asp3132_4,1025.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
bass2_2,453.67,3,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
bass2_4,342.50,2,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
bass_1,322.17,6,1,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
bass_2,554.45,98,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
bass_3,402.50,12,4,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no
bass_6,520.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
bass_7,313.14,7,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
betaCA_1,333.97,107,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
betaCA_1_3,954.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
betaCA_1_4_1_1,227.62,95,12,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
betaCA_1_4_1_1_1_1,297.73,11,3,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes
betaCA_1_4_1_1_1_1_2,331.00,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
betaCA_1_4_1_1_1_1_3,273.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
betaCA_1_4_1_1_1_2,243.59,73,11,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes
betaCA_1_4_1_1_1_2_10,203.00,3,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
betaCA_1_4_1_1_1_2_1_1_1_1_1_1_1_2,182.33,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
betaCA_1_4_1_1_1_2_1_1_1_1_1_1_2,220.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
betaCA_1_4_1_1_1_2_1_1_1_1_1_2,220.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
betaCA_1_4_1_1_1_2_1_1_1_1_2,270.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
betaCA_1_4_1_1_1_2_1_1_1_2,300.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
betaCA_1_4_1_1_1_2_1_1_2,259.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
betaCA_1_4_1_1_1_2_1_2,292.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
betaCA_1_4_1_1_1_2_2,293.33,3,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
betaCA_1_4_1_1_1_2_4,166.33,3,1,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
