Seq	Host	Starttime	Runtime	Send	Receive	Exitval	Signal	Command
10	:	1487073256.779	1.602	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_apl1_1_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_apl1_1_o150_al.fa
17	:	1487073257.385	1.036	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_dit2_9_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_dit2_9_o150_al.fa
18	:	1487073257.421	1.153	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_dit2_5_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_dit2_5_2_o150_al.fa
19	:	1487073257.483	1.113	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_dit2_5_1_1_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_dit2_5_1_1_o150_al.fa
20	:	1487073257.5	1.108	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_dit2_5_1_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_dit2_5_1_2_o150_al.fa
22	:	1487073257.639	1.118	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_dit2_4_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_dit2_4_o150_al.fa
23	:	1487073257.68	1.243	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_1_1_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_1_1_o150_al.fa
21	:	1487073257.582	1.596	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_dit2_1_1_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_dit2_1_1_o150_al.fa
26	:	1487073257.937	1.46	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_2_o150_al.fa
27	:	1487073258.395	1.045	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_1_2_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_1_2_2_o150_al.fa
31	:	1487073258.627	1.122	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_2_3_1_3_1_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_2_3_1_3_1_o150_al.fa
32	:	1487073258.78	1.002	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_2_3_1_1_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_2_3_1_1_o150_al.fa
29	:	1487073258.587	1.241	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_1_2_3_1_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_1_2_3_1_o150_al.fa
30	:	1487073258.608	1.381	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_2_3_1_4_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_2_3_1_4_o150_al.fa
33	:	1487073258.931	1.128	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_2_3_1_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_2_3_1_2_o150_al.fa
34	:	1487073259.195	1.352	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_2_4_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_2_4_o150_al.fa
36	:	1487073259.456	1.101	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_2_3_2_1_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_2_3_2_1_2_o150_al.fa
35	:	1487073259.416	1.236	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_1_1_1_1_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_1_1_1_1_2_o150_al.fa
38	:	1487073259.794	1.171	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_1_2_3_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_1_2_3_2_o150_al.fa
39	:	1487073259.835	1.142	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_1_2_4_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_1_2_4_o150_al.fa
37	:	1487073259.757	1.248	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_2_3_2_1_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_2_3_2_1_o150_al.fa
40	:	1487073260.006	1.168	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_1_2_1_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_1_2_1_2_o150_al.fa
41	:	1487073260.075	1.184	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_1_2_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_1_2_2_o150_al.fa
42	:	1487073260.557	0.984	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_1_2_1_1_1_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_1_2_1_1_1_o150_al.fa
44	:	1487073260.67	0.927	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_1_2_4_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_1_2_4_2_o150_al.fa
43	:	1487073260.571	1.197	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_2_1_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_2_1_o150_al.fa
46	:	1487073260.992	1.143	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_1_1_1_1_1_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_1_1_1_1_1_2_o150_al.fa
47	:	1487073261.021	1.127	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_1_2_4_4_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_1_2_4_4_o150_al.fa
45	:	1487073260.977	1.182	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_2_1_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_2_1_o150_al.fa
48	:	1487073261.191	1.156	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_1_1_1_2_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_1_1_1_2_2_o150_al.fa
49	:	1487073261.273	1.093	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_2_6_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_2_6_o150_al.fa
51	:	1487073261.61	1.194	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_2_3_2_3_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_2_3_2_3_o150_al.fa
54	:	1487073262.16	0.986	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_2_3_1_1_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_2_3_1_1_o150_al.fa
57	:	1487073262.377	0.864	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh1_1_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh1_1_o150_al.fa
55	:	1487073262.177	1.259	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_1_1_1_1_1_1_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_1_1_1_1_1_1_o150_al.fa
59	:	1487073263.155	1.208	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_2_4_4_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_2_4_4_o150_al.fa
24	:	1487073257.694	6.759	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_1_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_2_3_1_o150_al.fa
61	:	1487073263.453	1.201	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_2_4_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_2_4_2_o150_al.fa
56	:	1487073262.366	2.529	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_1_1_1_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_1_1_1_2_o150_al.fa
63	:	1487073264.47	1.07	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_Ambig_ppt1_none_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_Ambig_ppt1_none_2_o150_al.fa
13	:	1487073256.791	9.148	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_dit2_1_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_dit2_1_o150_al.fa
65	:	1487073264.914	1.205	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_Ambig_ppt2_none_4_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_Ambig_ppt2_none_4_o150_al.fa
66	:	1487073265.55	1.358	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_ppt2_1_1_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_ppt2_1_1_2_o150_al.fa
67	:	1487073265.951	0.968	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_Ambig_ppt2_none_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_Ambig_ppt2_none_2_o150_al.fa
68	:	1487073266.156	0.945	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_ppt2_1_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_ppt2_1_2_o150_al.fa
70	:	1487073266.947	0.919	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_ppt2_5_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_ppt2_5_o150_al.fa
69	:	1487073266.919	1.193	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_ppt2_3_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_ppt2_3_o150_al.fa
73	:	1487073268.131	9.762	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_ppt2_6_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_ppt2_6_o150_al.fa
53	:	1487073262.148	16.277	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_2_3_1_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_2_3_1_o150_al.fa
74	:	1487073277.91	1.091	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_ppt2_1_1_4_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_ppt2_1_1_4_o150_al.fa
62	:	1487073264.385	15.209	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_1_1_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nadmdh_1_1_1_1_o150_al.fa
76	:	1487073279.027	14.537	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nGroup_22620_1_1_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nGroup_22620_1_1_o150_al.fa
78	:	1487073293.584	1.097	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nGroup_22620_1_1_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nGroup_22620_1_1_2_o150_al.fa
79	:	1487073294.7	1.325	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nGroup_7713_1_1_2_4_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nGroup_7713_1_1_2_4_o150_al.fa
80	:	1487073296.044	1.457	0	0	0	0	mafft --localpair --maxiterate 1000 --quiet /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nGroup_7713_1_1_1_2_2_2_o150.fa > /users/lhancock/data/sequences/analyses_temp/lph_lane6_20161104/Ln_1t6/Ln1t6_genetrees1/Ln1t6gt1_nGroup_7713_1_1_1_2_2_2_o150_al.fa
