Locus	Paralog_Name	Nested_Paralogs
nadmdh	nadmdh_1_1_2_3_1_2_3_2	nadmdh_1_1_2_3_1_2_3_2
nadmdh	nadmdh_1_1_2_3_1_2_4	nadmdh_1_1_2_3_1_2_4
nadmdh	nadmdh_1_1_2_3_1_2_1_2	nadmdh_1_1_2_3_1_2_1_2
nadmdh	nadmdh_1_1_2_3_1_2_2	nadmdh_1_1_2_3_1_2_2
nadmdh	nadmdh_1_1_2_3_1_2_1_1_1	nadmdh_1_1_2_3_1_2_1_1_1
nadmdh	nadmdh_1_1_2_3_2_1	nadmdh_1_1_2_3_2_1
nadmdh	nadmdh_1_1_1_2_4_2	nadmdh_1_1_1_2_4_2
nadmdh	nadmdh_1_2_1	nadmdh_1_2_1
nadmdh	nadmdh_1_1_1_1_1_1_1_2	nadmdh_1_1_1_1_1_1_1_2
nadmdh	nadmdh_1_1_1_2_4_4	nadmdh_1_1_1_2_4_4
nadmdh	nadmdh_1_1_1_1_1_2_2	nadmdh_1_1_1_1_1_2_2
nadmdh	nadmdh_1_1_2_3_2_6	nadmdh_1_1_2_3_2_6
nadmdh	nadmdh_1_1_2	nadmdh_1_1_2,nadmdh_1_1_2_3_2_5,nadmdh_1_1_2_3_2_2,nadmdh_1_1_2_3_2,nadmdh_1_1_2_3_2_3_2,nadmdh_1_1_2_3,nadmdh_1_1_2_1
nadmdh	nadmdh_1_2_3_2_3	nadmdh_1_2_3_2_3
nadmdh	nadmdh_1_2_3	nadmdh_1_2_3_2_4,nadmdh_1_2_3_2_2,nadmdh_1_2_3_2,nadmdh_1_2_3
nadmdh	nadmdh_1_2_3_1	nadmdh_1_2_3_1_2,nadmdh_1_2_3_1_3_2,nadmdh_1_2_3_1
nadmdh	nadmdh_1_2_3_1_1	nadmdh_1_2_3_1_1
nadmdh	nadmdh_1_1_1_1_1_1_1_1	nadmdh_1_1_1_1_1_1_1_1
nadmdh	nadmdh_1_1_1_1_1_2	nadmdh_1_1_1_1_1_2_1,nadmdh_1_1_1_1_1_2
nadmdh	nadmdh1_1	nadmdh1_1
nadmdh	nadmdh_1_1_1	nadmdh_1_1_1_2_4_3,nadmdh_1_1_1,nadmdh_1_1_1_2,nadmdh_1_1_1_2_1,nadmdh_1_1_1_2_4,nadmdh_1_1_1_2_4_1
nadmdh	nadmdh_1_2_4_4	nadmdh_1_2_4_4
nadmdh	nadmdh_1_2	nadmdh_1_2_4,nadmdh_1_2_4_3,nadmdh_1_2_4_1,nadmdh_1_2_2,nadmdh_1_2
nadmdh	nadmdh_1_2_4_2	nadmdh_1_2_4_2
nadmdh	nadmdh_1_1_1_1	nadmdh_1_1_1_1,nadmdh_1_1_1_1_2
ppt1	Ambig_ppt1_none_2	Ambig_ppt1_none_2
ppt1	Ambig_ppt1_none_1	ppt1,Ambig_ppt1_none_1
ppt2	Ambig_ppt2_none_4	Ambig_ppt2_none_4
ppt2	ppt2_1_1_2	ppt2_1_1_2
ppt2	Ambig_ppt2_none_2	Ambig_ppt2_none_2
ppt2	ppt2_1_2	ppt2_1_2
ppt2	ppt2_3	ppt2_3
ppt2	ppt2_5	ppt2_5
ppt2	ppt2_1	ppt2_1,ppt2,ppt2_1_1_1,ppt2_1_1_3,ppt2_1_1
ppt2	ppt2_2	ppt2_2,Ambig_ppt2_none_3,ppt2_7,ppt2_4,Ambig_ppt2_none,Ambig_ppt2_none_1
ppt2	ppt2_6	ppt2_6
ppt2	ppt2_1_1_4	ppt2_1_1_4
nGroup_22620	nGroup_22620_2	nGroup_22620,nGroup_22620_2
nGroup_22620	nGroup_22620_1_1	nGroup_22620_1_1_1,nGroup_22620_1_1
nGroup_22620	nGroup_22620_1	nGroup_22620_1_2,nGroup_22620_1
nGroup_22620	nGroup_22620_1_1_2	nGroup_22620_1_1_2
nGroup_7713	nGroup_7713_1_1_2_4	nGroup_7713_1_1_2_4
nGroup_7713	nGroup_7713_1_1_1_2_2_2	nGroup_7713_1_1_1_2_2_2
nGroup_7713	nGroup_7713_1_1_1_2_2_1_2	nGroup_7713_1_1_1_2_2_1_2
nGroup_7713	nGroup_7713_1_1_1_2_1_1_1_1_1_2	nGroup_7713_1_1_1_2_1_1_1_1_1_2
nGroup_7713	nGroup_7713_1_1_1_2_1_1_1_1_2	nGroup_7713_1_1_1_2_1_1_1_1_2
nGroup_7713	nGroup_7713_1_1_1_2_1_3	nGroup_7713_1_1_1_2_1_3
nGroup_7713	nGroup_7713_1_2_3	nGroup_7713_1_2_3
nGroup_7713	nGroup_7713_1_1_1_2_1_4_1_1_1_2	nGroup_7713_1_1_1_2_1_4_1_1_1_2
nGroup_7713	nGroup_7713_1_1_2_1_2_2	nGroup_7713_1_1_2_1_2_2
nGroup_7713	nGroup_7713_1_2_2	nGroup_7713_1_2_2
nGroup_7713	nGroup_7713_1_1_1_2_2_1_1_2	nGroup_7713_1_1_1_2_2_1_1_2
nGroup_7713	nGroup_7713_1_1_2_1_1	nGroup_7713_1_1_2_1_1
nGroup_7713	nGroup_7713_1_1_2_2	nGroup_7713_1_1_2_2
nGroup_7713	nGroup_7713_1_1_1_2_1_4_1_1_2	nGroup_7713_1_1_1_2_1_4_1_1_2
nGroup_7713	nGroup_7713_1_1_1_2_1_4_1_2	nGroup_7713_1_1_1_2_1_4_1_2
nGroup_7713	nGroup_7713_1_1_1_2_1_4_2	nGroup_7713_1_1_1_2_1_4_2
nGroup_7713	nGroup_7713_1_1_1_2_1_2	nGroup_7713_1_1_1_2_1_2
nGroup_7713	nGroup_7713_1_1_1_2_1	nGroup_7713_1_1_1_2_1_1_1_1_1_1,nGroup_7713_1_1_1_2_1,nGroup_7713_1_1_1_2_1_4_1_1_1,nGroup_7713_1_1_1_2_1_4,nGroup_7713_1_1_1_2_1_4_1_1_1_1
nGroup_7713	nGroup_7713_1_1_1_2_1_1_1_2	nGroup_7713_1_1_1_2_1_1_1_2
nGroup_7713	nGroup_7713_1_1_1_2_1_1_2	nGroup_7713_1_1_1_2_1_1_2
nGroup_7713	nGroup_7713_1_1_1_1	nGroup_7713_1_1_1_1
nGroup_7713	nGroup_7713_1_1_1_2	nGroup_7713_1_1_1_2_2,nGroup_7713_1_1_1_2_2_1_1_1,nGroup_7713_1_1_1_2,nGroup_7713_1_1_1_2_2_1_1
nGroup_7713	nGroup_7713_2	nGroup_7713_2,nGroup_7713
nGroup_7713	nGroup_7713_1	nGroup_7713_1_2,nGroup_7713_1_2_4,nGroup_7713_1,nGroup_7713_1_2_1
nGroup_7713	nGroup_7713_1_1	nGroup_7713_1_1_2,nGroup_7713_1_1,nGroup_7713_1_1_2_3,nGroup_7713_1_1_2_1_2_1
nGroup_22334	nGroup_22334_1_2_1	nGroup_22334_1_2_1
nGroup_22334	nGroup_22334_1_2_6	nGroup_22334_1_2_6
nGroup_22334	nGroup_22334_1_2_4	nGroup_22334_1_2_4
nGroup_22334	nGroup_22334_1	nGroup_22334_1_2_5,nGroup_22334_1_2_2,nGroup_22334_1_2_3,nGroup_22334_1_2,nGroup_22334,nGroup_22334_1
nGroup_22334	nGroup_22334_1_1_1	nGroup_22334_1_1_1
nGroup_22334	nGroup_22334_1_1_2_2_7_2	nGroup_22334_1_1_2_2_7_2
nGroup_22334	nGroup_22334_1_1	nGroup_22334_1_1_2,nGroup_22334_1_1,nGroup_22334_1_1_2_2_8,nGroup_22334_1_1_2_2,nGroup_22334_1_1_2_2_3,nGroup_22334_1_1_2_2_2,nGroup_22334_1_1_2_2_5
nGroup_22334	nGroup_22334_1_1_2_2_4_1	nGroup_22334_1_1_2_2_4_1
nGroup_22334	nGroup_22334_1_1_2_2_7_1	nGroup_22334_1_1_2_2_7_1
nGroup_22334	nGroup_22334_1_1_2_2_6	nGroup_22334_1_1_2_2_6
nGroup_22334	nGroup_22334_1_1_2_2_4_2	nGroup_22334_1_1_2_2_4_2
nGroup_22334	nGroup_22334_1_1_2_1	nGroup_22334_1_1_2_1
nGroup_22334	22334og	22334og
nGroup_22334	nGroup_22334_1_1_2_2_1	nGroup_22334_1_1_2_2_1
nGroup_18355	nGroup_18355_2	nGroup_18355,nGroup_18355_2,nGroup_18355_5,nGroup_18355_3
nGroup_18355	nGroup_18355_1	nGroup_18355_1
nGroup_18355	nGroup_18355_6	nGroup_18355_6
nGroup_18355	nGroup_18355_4	nGroup_18355_4
asp3132	asp3132_2	asp3132_3,asp3132_2
asp3132	asp3132_1_1_2	asp3132_1_1_2
asp3132	asp3132_1	asp3132_1_1,asp3132_1_1_3,asp3132_1,asp3132,asp3132_1_1_1
asp3132	asp3132_1_2	asp3132_1_2
asp3132	asp3132_4	asp3132_4
asp3132	asp3132_1_1_4	asp3132_1_1_4
nGroup_1537	nGroup_1537_2	nGroup_1537_2,Ambig_nGroup_1537_none,nGroup_1537,nGroup_1537_4
nGroup_1537	1537	1537
nGroup_1537	nGroup_1537_1	nGroup_1537_1_3,nGroup_1537_1_1,nGroup_1537_1
nGroup_1537	Ambig_nGroup_1537_none_1	Ambig_nGroup_1537_none_1
nGroup_1537	1537_1	1537_1
nGroup_1537	nGroup_1537_5	nGroup_1537_6,1537_2,nGroup_1537_5
nGroup_1537	nGroup_1537_7	nGroup_1537_7
nGroup_1537	nGroup_1537_1_4	nGroup_1537_1_4
nGroup_1537	nGroup_1537_1_2	nGroup_1537_1_2
nGroup_16321	nGroup_16321_2	nGroup_16321,nGroup_16321_4,nGroup_16321_2,nGroup_16321_3
nGroup_16321	nGroup_16321_1_4	nGroup_16321_1_4
nGroup_16321	16321_1_2_1	16321_1_2_1
nGroup_16321	16321_1_1	16321_1_1
nGroup_16321	nGroup_16321_5	nGroup_16321_5
nGroup_16321	16321_1_2_2	16321_1_2_2
nGroup_16321	nGroup_16321_1_2	nGroup_16321_1_2
nGroup_16321	nGroup_16321_1	nGroup_16321_1_3,nGroup_16321_1_1,nGroup_16321_1
nGroup_16142	nGroup_16142_4	nGroup_16142_4
nGroup_16142	nGroup_16142_2	nGroup_16142_9,nGroup_16142_5,nGroup_16142_3,nGroup_16142_2,nGroup_16142_11,nGroup_16142_6,Ambig_nGroup_16142_16142_16142og_2,nGroup_16142
nGroup_16142	nGroup_16142_8	nGroup_16142_8
nGroup_16142	nGroup_16142_15	nGroup_16142_15
nGroup_16142	nGroup_16142_14	nGroup_16142_14
nGroup_16142	nGroup_16142_18	nGroup_16142_18
nGroup_16142	Ambig_nGroup_16142_none_1	Ambig_nGroup_16142_none_1
nGroup_16142	nGroup_16142_1	nGroup_16142_1
nGroup_16142	Ambig_nGroup_16142_16142_16142og_1	Ambig_nGroup_16142_16142_16142og_1
nGroup_16142	16142_1	16142_1
nGroup_16142	nGroup_16142_7	nGroup_16142_17,nGroup_16142_16,nGroup_16142_7,nGroup_16142_12
nGroup_16142	nGroup_16142_10	nGroup_16142_10
nadme2	nadme2_4	nadme2_4
nadme2	nadme2_1_3	nadme2_1_3
nadme2	nadme2_1_1_1	nadme2_1_1_1
nadme2	nadme2_1_1_2	nadme2_1_1_2_1,nadme2_1_1_2,nadme2_1_1_2_4
nadme2	nadme2_1_1_2_3	nadme2_1_1_2_3
nadme2	nadme2_1_1_2_2	nadme2_1_1_2_2
nadme2	nadme2_2	nadme2_2,nadme2_3,nadme2
nadme2	nadme2_1_2_2	nadme2_1_2_2
nadme2	nadme2_1	nadme2_1_2_1,nadme2_1_2,nadme2_1,nadme2_1_4
nGroup_15299	Ambig_nGroup_15299_none_2	Ambig_nGroup_15299_none_2
nGroup_15299	nGroup_15299_1_2_1_1_1_2	nGroup_15299_1_2_1_1_1_2
nGroup_15299	nGroup_15299_1_2_1_1_1_1_2	nGroup_15299_1_2_1_1_1_1_2
nGroup_15299	nGroup_15299_1_2_1_1_1_1_1_2	nGroup_15299_1_2_1_1_1_1_1_2
nGroup_15299	nGroup_15299_1_2_1_1_1_1_1_1_2	nGroup_15299_1_2_1_1_1_1_1_1_2
nGroup_15299	nGroup_15299_1_2_2	nGroup_15299_1_2_2
nGroup_15299	nGroup_15299_11	nGroup_15299_11
nGroup_15299	Ambig_nGroup_15299_3_2	Ambig_nGroup_15299_3_2
nGroup_15299	15299b_1	15299b_1
nGroup_15299	Ambig_nGroup_15299_3_1	Ambig_nGroup_15299_3_1
nGroup_15299	15299b	15299b
nGroup_15299	nGroup_15299_5	nGroup_15299_5
nGroup_15299	Ambig_nGroup_15299_none_1	Ambig_nGroup_15299_none_1
nGroup_15299	nGroup_15299_1_2_1_1_1	nGroup_15299_1_2_1_1_1_1_1_1_1,nGroup_15299_1_2_1_1_1
nGroup_15299	nGroup_15299_1_2_1_1_2	nGroup_15299_1_2_1_1_2
nGroup_15299	nGroup_15299_1_2_3_2	nGroup_15299_1_2_3_2
nGroup_15299	nGroup_15299_1_2_4	nGroup_15299_1_2_4
nGroup_15299	nGroup_15299_12	nGroup_15299_12
nGroup_15299	nGroup_15299_1_1_2	nGroup_15299_1_1_2
nGroup_15299	nGroup_15299_2	nGroup_15299_7,nGroup_15299_2,nGroup_15299_10,nGroup_15299,Ambig_nGroup_15299_3_3,nGroup_15299_8,Ambig_nGroup_15299_3
nGroup_15299	nGroup_15299_1_1	nGroup_15299_1_1_1,nGroup_15299_1_1
nGroup_15299	nGroup_15299_1	nGroup_15299_1_2_1_2,nGroup_15299_1_2_3_1,nGroup_15299_1,nGroup_15299_1_2
nadme1	nadme1_1_1	nadme1_1_1
nadme1	nadme1_1_4	nadme1_1_4
nadme1	nadme1_1	nadme1_1_3,nadme1_1_2,nadme1_1,nadme1
nadme1	nadme1_2	nadme1_2
asp1	asp1_17	asp1_17
asp1	asp1_15	asp1_18,asp1_15
asp1	asp1_14	asp1_14
asp1	asp1_2	asp1_2
asp1	asp1_1	asp1_12,asp1_13,asp1_16,asp1_1,asp1,asp1_4
asp1	asp1_5	asp1_5
asp1	asp1_6	asp1_8,asp1_9,asp1_6
asp1	asp1_10	asp1_10
asp1	asp1_7	asp1_7
asp1	asp1_11	asp1_11
nhd	nhd_1_2_1_4_2_1_2	nhd_1_2_1_4_2_1_2
nhd	nhd_2	nhd,nhd_2,nhd_3
nhd	nhd_4	nhd_4
nhd	nhd_1_2_1_1_2	nhd_1_2_1_1_2
nhd	nhd_1_2_1_1_1	nhd_1_2_1_1_1
nhd	nhd_1_2	nhd_1_2,nhd_1_2_2
nhd	nhd_1_2_1	nhd_1_2_1_2,nhd_1_2_1_4_2_2,nhd_1_2_1,nhd_1_2_1_4_2,nhd_1_2_1_4
nhd	nhd_1_2_1_3	nhd_1_2_1_3
nhd	nhd_1_1	nhd_1_1
nhd	nhd_1_2_1_4_1	nhd_1_2_1_4_1
nhd	nhd_1_2_1_4_2_1	nhd_1_2_1_4_2_1_1,nhd_1_2_1_4_2_1
nGroup_6043	nGroup_6043_1	nGroup_6043_1
nGroup_6043	nGroup_6043_4	nGroup_6043_19,nGroup_6043_18,nGroup_6043_17,nGroup_6043_4
nGroup_6043	Ambig_nGroup_6043_none_2	Ambig_nGroup_6043_none_2
nGroup_6043	Ambig_nGroup_6043_3_3	Ambig_nGroup_6043_3_3
nGroup_6043	Ambig_nGroup_6043_6043b_6043a_1	Ambig_nGroup_6043_6043b_6043a_1
nGroup_6043	6043b_1	6043b_1
nGroup_6043	Ambig_nGroup_6043_4_3	Ambig_nGroup_6043_4_3
nGroup_6043	Ambig_nGroup_6043_none_4	Ambig_nGroup_6043_none_4
nGroup_6043	nGroup_6043_16	nGroup_6043_16
nGroup_6043	Ambig_nGroup_6043_3_2	Ambig_nGroup_6043_3_2
nGroup_6043	nGroup_6043_8	nGroup_6043_13,Ambig_nGroup_6043_3_1,nGroup_6043_9,nGroup_6043_8,Ambig_nGroup_6043_3
nGroup_6043	Ambig_nGroup_6043_4_2	Ambig_nGroup_6043_4_2
nGroup_6043	nGroup_6043_2	nGroup_6043,Ambig_nGroup_6043_none_3,nGroup_6043_2,nGroup_6043_6,nGroup_6043_20,Ambig_nGroup_6043_4_1
nGroup_6043	6043b	6043b
nGroup_6043	Ambig_nGroup_6043_none_1	Ambig_nGroup_6043_none_1
nGroup_6043	nGroup_6043_12	nGroup_6043_12
nGroup_6043	nGroup_6043_10	nGroup_6043_10
nGroup_6043	nGroup_6043_7	nGroup_6043_7
nGroup_6043	Ambig_nGroup_6043_6043b_6043a	Ambig_nGroup_6043_6043b_6043a
nGroup_16219	nGroup_16219_2	nGroup_16219_2
nGroup_16219	nGroup_16219_1	nGroup_16219_1,nGroup_16219
dic_2	dic_2_10	dic_2_10
dic_2	dic_2_5	dic_2_5
dic_2	dic_2_3	dic_2_6,dic_2_3
dic_2	dic_2_1	dic_2_1
dic_2	dic_2_2	dic_2_4,dic_2_7,dic_2_9,dic_2,dic_2_2
dic_2	dic_2_8	dic_2_8
pck	pck_1	pck_13,Ambig_pck_none_1,Ambig_pck_none_2,pck_11,pck_4,pck_9,pck_1,pck
pck	pck_3	pck_3
pck	pck_6	pck_6
pck	pck_10	pck_10
pck	pck_2	pck_2
pck	Ambig_pck_none_3	Ambig_pck_none_3
pck	pck_12	pck_12
pck	pck_7	pck_7
pck	pck_8	pck_8
nGroup_19448	nGroup_19448_1_1_1_2_1_2_5	nGroup_19448_1_1_1_2_1_2_5
nGroup_19448	nGroup_19448_1_1_1_2_1_1_3	nGroup_19448_1_1_1_2_1_1_3
nGroup_19448	nGroup_19448_1_1_1_2_1_2_1_1	nGroup_19448_1_1_1_2_1_2_1_1
nGroup_19448	nGroup_19448_1_1_1_2_1_2_1_2	nGroup_19448_1_1_1_2_1_2_1_2
nGroup_19448	nGroup_19448_1_1_1_2_2_2_2	nGroup_19448_1_1_1_2_2_2_2
nGroup_19448	nGroup_19448_1_1_1_2_2_2_1_2	nGroup_19448_1_1_1_2_2_2_1_2
nGroup_19448	nGroup_19448_1	nGroup_19448_1_2_3,nGroup_19448_1_2_1,nGroup_19448_1,nGroup_19448_1_2
nGroup_19448	nGroup_19448_1_1_1_2_2_1_1_1_2_2	nGroup_19448_1_1_1_2_2_1_1_1_2_2
nGroup_19448	nGroup_19448_1_1_1_2_2_1_1_1_1_2	nGroup_19448_1_1_1_2_2_1_1_1_1_2
nGroup_19448	nGroup_19448_1_1_1_2_2_1_1_1_2_1	nGroup_19448_1_1_1_2_2_1_1_1_2_1
nGroup_19448	nGroup_19448_1_1_1_2_2_1_1_2	nGroup_19448_1_1_1_2_2_1_1_2
nGroup_19448	nGroup_19448_1_1_1_2_2_1_2	nGroup_19448_1_1_1_2_2_1_2
nGroup_19448	nGroup_19448_1_1_1_2_2_1	nGroup_19448_1_1_1_2_2_1_1_1_1_1,nGroup_19448_1_1_1_2_2_1
nGroup_19448	nGroup_19448_1_1_1_2_1_2_8	nGroup_19448_1_1_1_2_1_2_8
nGroup_19448	nGroup_19448_1_1_1_2_1_1_2	nGroup_19448_1_1_1_2_1_1_2
nGroup_19448	nGroup_19448_1_1_1_1	nGroup_19448_1_1_1_1
nGroup_19448	nGroup_19448_1_1_1_2_1_1	nGroup_19448_1_1_1_2_1_1_4,nGroup_19448_1_1_1_2_1_1_1,nGroup_19448_1_1_1_2_1_1
nGroup_19448	nGroup_19448_1_1_1_2_1_2	nGroup_19448_1_1_1_2_1_2_2,nGroup_19448_1_1_1_2_1_2_7,nGroup_19448_1_1_1_2_1_2,nGroup_19448_1_1_1_2_1_2_6,nGroup_19448_1_1_1_2_1_2_4
nGroup_19448	nGroup_19448_1_1_1_2_1_2_3	nGroup_19448_1_1_1_2_1_2_3
nGroup_19448	nGroup_19448_1_1_1_2	nGroup_19448_1_1_1_2_2_2_1,nGroup_19448_1_1_1_2_2,nGroup_19448_1_1_1_2,nGroup_19448_1_1_1_2_2_2,nGroup_19448_1_1_1_2_2_2_1_1
nGroup_19448	nGroup_19448_1_1_2	nGroup_19448_1_1_2
nGroup_19448	nGroup_19448_1_2_4	nGroup_19448_1_2_4
nGroup_19448	nGroup_19448_1_2_2	nGroup_19448_1_2_2
nGroup_19448	19448og_1	19448og_1
nGroup_19448	19448og_2	nGroup_19448,nGroup_19448_2,19448og_2
nGroup_3000	nGroup_3000_1_2	nGroup_3000_1_2
nGroup_3000	nGroup_3000_1_1_1_2_2	nGroup_3000_1_1_1_2_2
nGroup_3000	nGroup_3000_1_1_2_1	nGroup_3000_1_1_2_1
nGroup_3000	nGroup_3000_1	nGroup_3000_1,nGroup_3000_1_1_1_2_4_3_1,nGroup_3000_1_1_1_2_4_1,nGroup_3000_1_1_1_2_1_1,nGroup_3000_1_1_1_2,nGroup_3000_1_1_1_2_4,nGroup_3000_1_1_1
nGroup_3000	nGroup_3000_1_1_1_1	nGroup_3000_1_1_1_1
nGroup_3000	nGroup_3000_1_1_1_2_3_2	nGroup_3000_1_1_1_2_3_2
nGroup_3000	nGroup_3000_1_1_2	nGroup_3000_1_1_2_2,nGroup_3000_1_1_2
nGroup_3000	3000og_1	3000og_1
nGroup_3000	nGroup_3000_1_1_1_2_4_2	nGroup_3000_1_1_1_2_4_2
nGroup_3000	nGroup_3000_1_1_1_2_3	nGroup_3000_1_1_1_2_3_1,nGroup_3000_1_1_1_2_3
nGroup_3000	nGroup_3000_1_1_1_2_4_4	nGroup_3000_1_1_1_2_4_4
nGroup_3000	nGroup_3000_1_1_1_2_4_3_2	nGroup_3000_1_1_1_2_4_3_2
nGroup_3000	nGroup_3000_1_1_1_2_1_2	nGroup_3000_1_1_1_2_1_2
nGroup_20351	Ambig_nGroup_20351_none_3	Ambig_nGroup_20351_none_3
nGroup_20351	Ambig_nGroup_20351_none_2	Ambig_nGroup_20351_none_2
nGroup_20351	nGroup_20351_2	nGroup_20351_2,nGroup_20351,nGroup_20351_7
nGroup_20351	nGroup_20351_1_2_5	nGroup_20351_1_2_5
nGroup_20351	Ambig_nGroup_20351_none_1	Ambig_nGroup_20351_none_1
nGroup_20351	nGroup_20351_1_2_3	nGroup_20351_1_2_3
nGroup_20351	nGroup_20351_1_2_1_1_1_2	nGroup_20351_1_2_1_1_1_2,nGroup_20351_1_2_1_1_1_2_1_2
nGroup_20351	nGroup_20351_1_2_1_1_2	nGroup_20351_1_2_1_1_2
nGroup_20351	nGroup_20351_4	nGroup_20351_4
nGroup_20351	nGroup_20351_1_2_1_1_1_2_1_1_1	nGroup_20351_1_2_1_1_1_2_1_1_1
nGroup_20351	nGroup_20351_1_2_1_1_1_2_2	nGroup_20351_1_2_1_1_1_2_2
nGroup_20351	nGroup_20351_1_2_1_1_1_2_1_1_2	nGroup_20351_1_2_1_1_1_2_1_1_2
nGroup_20351	nGroup_20351_1	nGroup_20351_1_2_6,nGroup_20351_1_2,nGroup_20351_1,nGroup_20351_1_2_1_2,nGroup_20351_1_2_4
nGroup_20351	nGroup_20351_1_2_1_1_1_1	nGroup_20351_1_2_1_1_1_1
nGroup_20351	nGroup_20351_1_2_2	nGroup_20351_1_2_2
nGroup_20351	nGroup_20351_1_1	nGroup_20351_1_1
nGroup_24434	24434_4_1_2	24434_4_1_2
nGroup_24434	24434_5	24434_5
nGroup_24434	24434_4_2	24434_4_2
nGroup_24434	nGroup_24434_4	nGroup_24434_4
nGroup_24434	nGroup_24434_1_1_1_2	nGroup_24434_1_1_1_2
nGroup_24434	nGroup_24434_1_2_2	nGroup_24434_1_2_2
nGroup_24434	nGroup_24434_1_2_1_2	nGroup_24434_1_2_1_2
nGroup_24434	nGroup_24434_6	nGroup_24434_6
nGroup_24434	nGroup_24434_1_1_2	nGroup_24434_1_1_2
nGroup_24434	24434_7	24434_7
nGroup_24434	nGroup_24434_13	nGroup_24434_13
nGroup_24434	24434_8	24434_8
nGroup_24434	nGroup_24434_15	nGroup_24434_15
nGroup_24434	nGroup_24434_1_1_1_1_6	nGroup_24434_1_1_1_1_6
nGroup_24434	nGroup_24434_1_1_1_1_2	nGroup_24434_1_1_1_1_2
nGroup_24434	nGroup_24434_9	nGroup_24434_9
nGroup_24434	24434_1	24434_1
nGroup_24434	nGroup_24434_1_1_1_1_4	nGroup_24434_1_1_1_1_4
nGroup_24434	nGroup_24434_1_2	nGroup_24434_1_2_1,nGroup_24434_1_2,nGroup_24434_1_2_1_1
nGroup_24434	24434_3	24434_3
nGroup_24434	nGroup_24434_11	nGroup_24434_11
nGroup_24434	nGroup_24434_1_1_1_1	nGroup_24434_1_1_1_1_3,nGroup_24434_1_1_1_1_1,nGroup_24434_1_1_1_1,nGroup_24434_1_1_1_1_5
nGroup_24434	nGroup_24434_2	nGroup_24434_10,nGroup_24434_12,nGroup_24434_14,nGroup_24434_16,nGroup_24434_8,24434_4_1_1,nGroup_24434_2,24434_6,nGroup_24434,24434_2
amk2	amk2	amk2
nGroup_10860	nGroup_10860_1	nGroup_10860_1
nGroup_10860	Ambig_nGroup_10860_none_2	Ambig_nGroup_10860_none_2
nGroup_10860	nGroup_10860_2	nGroup_10860_2,nGroup_10860,Ambig_nGroup_10860_none_1
amk1	amk1_4	amk1_4
amk1	amk1_2	amk1_5_1,amk1_3,amk1,amk1_2
amk1	amk1_1_1_1_1	amk1_1_1_1_1
amk1	amk1_1_1_1_2	amk1_1_1_1_2
amk1	amk1_1_1_2	amk1_1_1_2
